epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93374,0.65268,0.79612,0.51407,0.91293,0.9781,1,0.995,0.8664,0.9781,1,0.995,0.6124,0.69028,3.87855,0.46807,0.85617,0.06744,0.000328889,0.000328889
2,13.4823,0.64877,0.78914,0.50791,0.89854,0.97809,1,0.995,0.91098,0.97809,1,0.995,0.87308,0.64375,0.90746,0.52072,0.86716,0.0344181,0.000640369,0.000640369
3,19.2433,0.62291,0.71811,0.47307,0.89684,0.97009,1,0.995,0.88525,0.97009,1,0.995,0.8688,0.62158,0.90361,0.43938,0.82762,0.00137429,0.000929849,0.000929849
4,25.0454,0.62415,0.73889,0.47078,0.89762,0.97844,1,0.995,0.90694,0.97844,1,0.995,0.84303,0.63296,0.99356,0.43929,0.86692,0.000901,0.000901,0.000901
5,30.5879,0.6167,0.71083,0.46145,0.89562,0.98722,1,0.995,0.86976,0.98722,1,0.995,0.83912,0.67717,0.88676,0.49903,0.87531,0.000868,0.000868,0.000868
6,36.1882,0.61561,0.70882,0.46666,0.88884,0.97409,1,0.995,0.8846,0.97409,1,0.995,0.85089,0.67384,0.9567,0.44323,0.87057,0.000835,0.000835,0.000835
7,41.9663,0.61868,0.71564,0.47139,0.89174,0.98506,1,0.995,0.88449,0.98506,1,0.995,0.85617,0.69899,0.8921,0.44615,0.89212,0.000802,0.000802,0.000802
8,47.819,0.60119,0.71334,0.4427,0.89371,0.98215,1,0.995,0.87128,0.98215,1,0.995,0.83143,0.7229,0.85315,0.43757,0.85628,0.000769,0.000769,0.000769
9,53.4272,0.60235,0.68583,0.44372,0.87786,0.98936,1,0.995,0.88722,0.98936,1,0.995,0.82768,0.69431,0.87572,0.41554,0.85482,0.000736,0.000736,0.000736
10,59.4002,0.59791,0.6727,0.4307,0.88688,0.98959,1,0.995,0.84871,0.98959,1,0.995,0.84196,0.80476,0.96933,0.41894,0.87054,0.000703,0.000703,0.000703
11,65.4253,0.5719,0.6647,0.41189,0.8823,0.97987,1,0.995,0.87112,0.97987,1,0.995,0.8504,0.7968,0.81022,0.44413,0.83869,0.00067,0.00067,0.00067
12,71.7093,0.55598,0.65099,0.4026,0.86547,0.97903,1,0.995,0.89401,0.97903,1,0.995,0.85125,0.63652,0.80759,0.43262,0.80765,0.000637,0.000637,0.000637
