epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0798,0.61964,0.70394,0.54209,0.90541,0.98048,1,0.995,0.89059,0.98048,1,0.995,0.8155,0.60986,0.9197,0.36204,0.82089,0.0672324,0.000330986,0.000330986
2,26.3199,0.60075,0.66324,0.44019,0.90058,0.98691,1,0.995,0.91555,0.98691,1,0.995,0.78806,0.59331,1.37794,0.39644,0.83626,0.0342105,0.000642397,0.000642397
3,38.6572,0.60918,0.7103,0.44063,0.90139,0.98984,1,0.995,0.91477,0.98984,1,0.995,0.79722,0.61229,1.05267,0.35289,0.81521,0.00116655,0.000931808,0.000931808
4,50.7826,0.61788,0.69751,0.44372,0.906,0.97722,1,0.995,0.9321,0.97722,1,0.995,0.86654,0.4834,0.89573,0.35028,0.79593,0.000901,0.000901,0.000901
5,62.6542,0.60858,0.67725,0.42182,0.8931,0.98495,1,0.995,0.87159,0.98495,1,0.995,0.83546,0.61514,1.04035,0.32717,0.81742,0.000868,0.000868,0.000868
6,74.7234,0.59097,0.65566,0.41549,0.89443,0.99298,1,0.995,0.91668,0.99298,1,0.995,0.81041,0.59678,1.02935,0.38247,0.83684,0.000835,0.000835,0.000835
7,85.2582,0.58759,0.65535,0.40281,0.90232,0.98552,1,0.995,0.90364,0.98552,1,0.995,0.81584,0.56864,0.90376,0.34725,0.80007,0.000802,0.000802,0.000802
8,96.1741,0.57352,0.64536,0.39726,0.89121,0.98298,1,0.995,0.88524,0.98298,1,0.995,0.87465,0.58398,0.91473,0.34822,0.80884,0.000769,0.000769,0.000769
9,107.181,0.58359,0.63653,0.40293,0.89173,0.99807,1,0.995,0.91359,0.99807,1,0.995,0.84653,0.57282,0.94297,0.31583,0.82394,0.000736,0.000736,0.000736
10,118.276,0.57327,0.64246,0.38526,0.88584,0.97925,1,0.995,0.86491,0.97925,1,0.995,0.81136,0.7393,0.95114,0.38975,0.86464,0.000703,0.000703,0.000703
11,128.645,0.55859,0.61912,0.37336,0.88329,0.99811,1,0.995,0.92171,0.99811,1,0.995,0.89333,0.53904,0.85387,0.29846,0.81759,0.00067,0.00067,0.00067
12,139.693,0.57647,0.6321,0.37508,0.88571,0.98428,1,0.995,0.89411,0.98428,1,0.995,0.8062,0.63256,0.97062,0.33881,0.81821,0.000637,0.000637,0.000637
13,150.221,0.57415,0.64741,0.38068,0.88603,0.99815,1,0.995,0.87746,0.99815,1,0.995,0.79817,0.75565,1.04144,0.36847,0.83329,0.000604,0.000604,0.000604
14,160.981,0.56607,0.65174,0.3762,0.89718,0.98387,1,0.995,0.85332,0.98387,1,0.995,0.80017,0.64313,0.97836,0.34642,0.8318,0.000571,0.000571,0.000571
15,171.888,0.53443,0.57801,0.34661,0.86576,0.99808,1,0.995,0.9065,0.99808,1,0.995,0.80697,0.55901,1.02493,0.32411,0.80316,0.000538,0.000538,0.000538
16,182.664,0.54571,0.62653,0.35695,0.88285,0.99811,1,0.995,0.89984,0.99811,1,0.995,0.85246,0.54969,0.90605,0.29514,0.82185,0.000505,0.000505,0.000505
17,193.482,0.54132,0.61817,0.35261,0.87696,0.99806,1,0.995,0.91029,0.99806,1,0.995,0.81213,0.53938,0.96612,0.28202,0.81178,0.000472,0.000472,0.000472
18,204.429,0.52421,0.57175,0.3421,0.87417,0.99806,1,0.995,0.89728,0.99806,1,0.995,0.83316,0.58223,0.91854,0.28019,0.82142,0.000439,0.000439,0.000439
19,215.385,0.52032,0.5824,0.33684,0.86412,0.98475,1,0.995,0.9091,0.98475,1,0.995,0.83786,0.55623,0.88461,0.28249,0.81007,0.000406,0.000406,0.000406
20,226.295,0.51397,0.56417,0.3338,0.86956,0.98591,1,0.995,0.91375,0.98591,1,0.995,0.82288,0.57026,0.89081,0.28227,0.78827,0.000373,0.000373,0.000373
21,247.922,0.4619,0.51818,0.29318,0.85284,0.98706,1,0.995,0.93421,0.98706,1,0.995,0.83178,0.47892,0.83032,0.2542,0.78632,0.00034,0.00034,0.00034
